detected_sensor_0,detected_sensor_1,detected_sensor_2,detected_sensor_3,detected_sensor_4,detected_sensor_5,detected_sensor_6,detected_sensor_7,vehicle_id,detected_by,nb_detections,incoming
,,2552.0,,,,2333.0,,1083,"[2, 6]",2,False
,,,,,3529.5,3445.5,,1113,"[5, 6]",2,False
,,,1834.5,,,,1619.0,1272,"[3, 7]",2,False
,,,2207.5,,,2093.5,,1093,"[3, 6]",2,False
,,,,,,1640.0,1691.5,1126,"[6, 7]",2,True
,,,,,1913.0,1866.5,,1119,"[5, 6]",2,False
,,,,,,1134.5,1178.5,1124,"[6, 7]",2,True
,,,,,1375.0,1265.0,,1117,"[5, 6]",2,False
,,,,,2295.0,,2153.0,1284,"[5, 7]",2,False
,,1464.0,1409.0,,,,,757,"[2, 3]",2,False
,,2027.0,,,,,1826.5,1262,"[2, 7]",2,False
,,2279.5,,2368.5,,,,707,"[2, 4]",2,True
,,,921.0,,,762.5,,1102,"[3, 6]",2,False
,,2352.5,,,,2488.5,,713,"[2, 6]",2,True
,,,,2543.0,2421.5,,,936,"[4, 5]",2,False
,,,,,,3356.0,3291.0,1302,"[6, 7]",2,False
,,,,3366.0,,3248.0,,1107,"[4, 6]",2,False
,,,,,1189.0,1095.5,,1116,"[5, 6]",2,False
,,,935.0,,,,764.0,1265,"[3, 7]",2,False
,,,,3261.0,,,3064.5,1278,"[4, 7]",2,False
,,,,2723.0,2635.0,,,937,"[4, 5]",2,False
,,,2836.5,,,,2938.0,768,"[3, 7]",2,True
,,,,2556.5,2461.0,,,933,"[4, 5]",2,False
,,,2031.5,,,,2128.5,767,"[3, 7]",2,True
,,,,,380.0,314.0,,1121,"[5, 6]",2,False
,,,,,,1394.5,1439.5,1129,"[6, 7]",2,True
,,,1582.0,,,1662.0,,764,"[3, 6]",2,True
,,,753.0,,670.5,,,931,"[3, 5]",2,False
,,,,831.0,709.5,,,941,"[4, 5]",2,False
,,,,,3283.0,,3211.0,1286,"[5, 7]",2,False
,,,213.0,,80.5,,,928,"[3, 5]",2,False
,,,,,,2666.5,2712.0,1127,"[6, 7]",2,True
,,,2374.0,,,2483.0,,766,"[3, 6]",2,True
,,,,,,108.0,160.5,1125,"[6, 7]",2,True
,,1742.0,1787.5,,,,,704,"[2, 3]",2,True
